generation,model_key,category,row_evaluations,avg_det_score,det_pass_count,det_pass_rate,failure_histogram
1,llama31_8b,1,15,83.7551,10,66.6667,"{""arg_type"": 1, ""enum_grounding"": 2, ""gt_mismatch"": 6, ""gt_receiver_coverage"": 5, ""gt_service_coverage"": 5, ""numeric_grounding"": 5, ""semantic"": 4}"
1,llama31_8b,2,15,89.5853,12,80.0,"{""arg_type"": 5, ""gt_mismatch"": 9, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""numeric_grounding"": 5}"
1,llama31_8b,3,15,71.4572,2,13.3333,"{""arg_type"": 3, ""dataflow"": 5, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 12, ""gt_service_coverage"": 12, ""semantic"": 5, ""service_match"": 3, ""unknown_service"": 4}"
1,llama31_8b,4,15,74.0863,6,40.0,"{""arg_type"": 2, ""dataflow"": 9, ""gt_mismatch"": 13, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 9, ""numeric_grounding"": 1, ""semantic"": 8, ""service_match"": 2, ""unknown_service"": 2}"
1,llama31_8b,5,15,91.1856,14,93.3333,"{""arg_type"": 2, ""enum_grounding"": 10, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 7, ""semantic"": 3, ""service_match"": 1, ""unknown_service"": 1}"
1,llama31_8b,6,15,72.2359,4,26.6667,"{""dataflow"": 5, ""extraneous"": 6, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 11, ""gt_service_coverage"": 11, ""numeric_grounding"": 7, ""semantic"": 7, ""service_match"": 1, ""unknown_service"": 1}"
1,llama31_8b,7,15,89.5885,14,93.3333,"{""arg_type"": 1, ""enum_grounding"": 5, ""extraneous"": 2, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""no_parseable_member_access"": 1, ""numeric_grounding"": 5, ""precondition"": 1, ""semantic"": 4, ""service_match"": 1}"
1,llama31_8b,8,15,74.8378,10,66.6667,"{""arg_type"": 1, ""enum_grounding"": 4, ""extraneous"": 5, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""invalid_json"": 1, ""semantic"": 11, ""service_match"": 1, ""unknown_service"": 2}"
2,llama31_8b,1,15,81.0769,9,60.0,"{""enum_grounding"": 2, ""gt_mismatch"": 8, ""gt_receiver_coverage"": 6, ""gt_service_coverage"": 6, ""numeric_grounding"": 5, ""semantic"": 4}"
2,llama31_8b,2,15,87.0855,11,73.3333,"{""arg_type"": 5, ""gt_mismatch"": 9, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 5}"
